电影名字,电影原名,其他名字,详细内容链接,导演,主演,年份,地区,评语
狮子王,The Lion King, 狮子王3D,https://movie.douban.com/subject/1301753/
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers, 魔戒二部曲：双城奇谋   指环王II：双塔,https://movie.douban.com/subject/1291572/
死亡诗社,Dead Poets Society, 暴雨骄阳(港)   春风化雨(台),https://movie.douban.com/subject/1291548/
钢琴家,The Pianist, 钢琴战曲(港)   战地琴人(台),https://movie.douban.com/subject/1296736/
黑客帝国,The Matrix, 22世纪杀人网络(港)   廿二世纪杀人网络(港),https://movie.douban.com/subject/1291843/
指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring, 魔戒首部曲：魔戒现身   指环王I：护戒使者,https://movie.douban.com/subject/1291571/
窃听风暴,Das Leben der Anderen, 窃听者(港)   他人的生活,https://movie.douban.com/subject/1900841/
饮食男女,飲食男女, Eat Drink Man Woman,https://movie.douban.com/subject/1291818/
美丽心灵,A Beautiful Mind, 有你终生美丽(港)   美丽境界(台),https://movie.douban.com/subject/1306029/
两杆大烟枪,Lock, Stock and Two Smoking Barrels, 够姜四小强(港)   两根枪管(台),https://movie.douban.com/subject/1293350/
让子弹飞,让子弹飞, 让子弹飞一会儿   火烧云,https://movie.douban.com/subject/3742360/
绿皮书,Green Book, 绿簿旅友(港)   幸福绿皮书(台),https://movie.douban.com/subject/27060077/
本杰明·巴顿奇事,The Curious Case of Benjamin Button, 奇幻逆缘(港)   班杰明的奇幻旅程(台),https://movie.douban.com/subject/1485260/
飞越疯人院,One Flew Over the Cuckoo's Nest, 飞越杜鹃窝(台)   飞越喜鹊巢,https://movie.douban.com/subject/1292224/
看不见的客人,Contratiempo, 死无对证(港)   布局(台),https://movie.douban.com/subject/26580232/
海蒂和爷爷,Heidi, 飘零燕(港)   海蒂,https://movie.douban.com/subject/25958717/
西西里的美丽传说,Malèna, 真爱伴我行(台)   玛莲娜,https://movie.douban.com/subject/1292402/
